Year,LM,CR,Bar,RM
2004,1,0,1.92,1.87
2005,8,0,2.11,1.84
2006,17,0,2.05,1.74
2007,16,0,2,2.21
2008,38,0,2.76,2.18
2009,47,33,2.58,2.68
2010,53,53,2.5,2.68
2011,73,60,3,3.18
2012,60,55,3.03,2.71
2013,41,51,2.63,2.74
2014,58,61,2.89,3.11
2015,41,51,2.95,2.89
2016,54,42,3.05,2.79
