,series_id,year,period,value,footnotes
116,PCU327---327---               ,1993,M12,116.6,          
117,PCU327---327---               ,1993,M13,115.4,          
118,PCU327---327---               ,1994,M01,116.9,          
119,PCU327---327---               ,1994,M02,117.4,          
120,PCU327---327---               ,1994,M03,118.2,          
121,PCU327---327---               ,1994,M04,118.5,          
122,PCU327---327---               ,1994,M05,119.1,          
123,PCU327---327---               ,1994,M06,119.8,          
124,PCU327---327---               ,1994,M07,120.1,          
125,PCU327---327---               ,1994,M08,120.4,          
126,PCU327---327---               ,1994,M09,120.7,          
127,PCU327---327---               ,1994,M10,121.1,          
128,PCU327---327---               ,1994,M11,121.4,          
129,PCU327---327---               ,1994,M12,121.6,          
130,PCU327---327---               ,1994,M13,119.6,          
131,PCU327---327---               ,1995,M01,122.4,          
132,PCU327---327---               ,1995,M02,123.1,          
133,PCU327---327---               ,1995,M03,123.8,          
134,PCU327---327---               ,1995,M04,124.5,          
135,PCU327---327---               ,1995,M05,124.6,          
136,PCU327---327---               ,1995,M06,124.4,          
137,PCU327---327---               ,1995,M07,124.5,          
138,PCU327---327---               ,1995,M08,124.6,          
139,PCU327---327---               ,1995,M09,124.8,          
140,PCU327---327---               ,1995,M10,124.8,          
141,PCU327---327---               ,1995,M11,124.9,          
142,PCU327---327---               ,1995,M12,124.9,          
143,PCU327---327---               ,1995,M13,124.3,          
144,PCU327---327---               ,1996,M01,125.1,          
145,PCU327---327---               ,1996,M02,125.3,          
146,PCU327---327---               ,1996,M03,125.3,          
147,PCU327---327---               ,1996,M04,125.4,          
148,PCU327---327---               ,1996,M05,125.5,          
149,PCU327---327---               ,1996,M06,125.5,          
150,PCU327---327---               ,1996,M07,125.8,          
151,PCU327---327---               ,1996,M08,125.9,          
152,PCU327---327---               ,1996,M09,126.3,          
153,PCU327---327---               ,1996,M10,126.2,          
154,PCU327---327---               ,1996,M11,126.6,          
155,PCU327---327---               ,1996,M12,126.5,          
156,PCU327---327---               ,1996,M13,125.8,          
157,PCU327---327---               ,1997,M01,126.8,          
158,PCU327---327---               ,1997,M02,126.9,          
159,PCU327---327---               ,1997,M03,127.1,          
160,PCU327---327---               ,1997,M04,127.5,          
161,PCU327---327---               ,1997,M05,127.6,          
162,PCU327---327---               ,1997,M06,127.4,          
163,PCU327---327---               ,1997,M07,127.4,          
164,PCU327---327---               ,1997,M08,127.5,          
165,PCU327---327---               ,1997,M09,127.5,          
166,PCU327---327---               ,1997,M10,127.8,          
167,PCU327---327---               ,1997,M11,127.8,          
168,PCU327---327---               ,1997,M12,127.7,          
169,PCU327---327---               ,1997,M13,127.4,          
170,PCU327---327---               ,1998,M01,127.6,          
171,PCU327---327---               ,1998,M02,127.8,          
172,PCU327---327---               ,1998,M03,127.9,          
173,PCU327---327---               ,1998,M04,128.7,          
174,PCU327---327---               ,1998,M05,129.0,          
175,PCU327---327---               ,1998,M06,129.4,          
176,PCU327---327---               ,1998,M07,129.9,          
177,PCU327---327---               ,1998,M08,130.1,          
178,PCU327---327---               ,1998,M09,130.2,          
179,PCU327---327---               ,1998,M10,130.4,          
180,PCU327---327---               ,1998,M11,130.3,          
181,PCU327---327---               ,1998,M12,130.2,          
182,PCU327---327---               ,1998,M13,129.3,          
183,PCU327---327---               ,1999,M01,130.7,          
184,PCU327---327---               ,1999,M02,131.5,          
185,PCU327---327---               ,1999,M03,131.7,          
186,PCU327---327---               ,1999,M04,132.1,          
187,PCU327---327---               ,1999,M05,132.5,          
188,PCU327---327---               ,1999,M06,132.7,          
189,PCU327---327---               ,1999,M07,132.7,          
190,PCU327---327---               ,1999,M08,133.1,          
191,PCU327---327---               ,1999,M09,133.2,          
192,PCU327---327---               ,1999,M10,133.6,          
193,PCU327---327---               ,1999,M11,133.7,          
194,PCU327---327---               ,1999,M12,133.5,          
195,PCU327---327---               ,1999,M13,132.6,          
196,PCU327---327---               ,2000,M01,134.4,          
197,PCU327---327---               ,2000,M02,134.6,          
198,PCU327---327---               ,2000,M03,134.7,          
199,PCU327---327---               ,2000,M04,135.0,          
200,PCU327---327---               ,2000,M05,135.1,          
201,PCU327---327---               ,2000,M06,135.1,          
202,PCU327---327---               ,2000,M07,134.8,          
203,PCU327---327---               ,2000,M08,134.5,          
204,PCU327---327---               ,2000,M09,134.8,          
205,PCU327---327---               ,2000,M10,134.5,          
206,PCU327---327---               ,2000,M11,134.3,          
207,PCU327---327---               ,2000,M12,134.0,          
208,PCU327---327---               ,2000,M13,134.7,          
209,PCU327---327---               ,2001,M01,134.8,          
210,PCU327---327---               ,2001,M02,135.6,          
211,PCU327---327---               ,2001,M03,135.6,          
212,PCU327---327---               ,2001,M04,135.9,          
213,PCU327---327---               ,2001,M05,136.0,          
214,PCU327---327---               ,2001,M06,135.7,          
215,PCU327---327---               ,2001,M07,136.0,          
216,PCU327---327---               ,2001,M08,136.0,          
217,PCU327---327---               ,2001,M09,136.4,          
218,PCU327---327---               ,2001,M10,136.6,          
219,PCU327---327---               ,2001,M11,136.9,          
220,PCU327---327---               ,2001,M12,136.7,          
221,PCU327---327---               ,2001,M13,136.0,          
222,PCU327---327---               ,2002,M01,136.9,          
223,PCU327---327---               ,2002,M02,136.4,          
224,PCU327---327---               ,2002,M03,136.3,          
225,PCU327---327---               ,2002,M04,136.6,          
226,PCU327---327---               ,2002,M05,137.1,          
227,PCU327---327---               ,2002,M06,137.2,          
228,PCU327---327---               ,2002,M07,137.0,          
229,PCU327---327---               ,2002,M08,137.4,          
230,PCU327---327---               ,2002,M09,137.6,          
231,PCU327---327---               ,2002,M10,137.4,          
232,PCU327---327---               ,2002,M11,137.3,          
233,PCU327---327---               ,2002,M12,137.3,          
234,PCU327---327---               ,2002,M13,137.1,          
235,PCU327---327---               ,2003,M01,137.6,          
236,PCU327---327---               ,2003,M02,137.8,          
237,PCU327---327---               ,2003,M03,137.7,          
238,PCU327---327---               ,2003,M04,138.1,          
239,PCU327---327---               ,2003,M05,138.0,          
240,PCU327---327---               ,2003,M06,137.7,          
241,PCU327---327---               ,2003,M07,137.8,          
242,PCU327---327---               ,2003,M08,138.0,          
243,PCU327---327---               ,2003,M09,138.2,          
244,PCU327---327---               ,2003,M10,138.2,          
245,PCU327---327---               ,2003,M11,138.7,          
246,PCU327---327---               ,2003,M12,138.6,          
247,PCU327---327---               ,2003,M13,138.0,          
248,PCU327---327---               ,2004,M01,139.2,          
249,PCU327---327---               ,2004,M02,140.3,          
250,PCU327---327---               ,2004,M03,140.2,          
251,PCU327---327---               ,2004,M04,140.9,          
252,PCU327---327---               ,2004,M05,141.6,          
253,PCU327---327---               ,2004,M06,142.2,          
254,PCU327---327---               ,2004,M07,143.0,          
255,PCU327---327---               ,2004,M08,144.0,          
256,PCU327---327---               ,2004,M09,144.9,          
257,PCU327---327---               ,2004,M10,145.3,          
258,PCU327---327---               ,2004,M11,145.5,          
259,PCU327---327---               ,2004,M12,145.8,          
260,PCU327---327---               ,2004,M13,142.7,          
261,PCU327---327---               ,2005,M01,148.1,          
262,PCU327---327---               ,2005,M02,149.0,          
263,PCU327---327---               ,2005,M03,149.7,          
264,PCU327---327---               ,2005,M04,150.2,          
265,PCU327---327---               ,2005,M05,150.6,          
266,PCU327---327---               ,2005,M06,151.2,          
267,PCU327---327---               ,2005,M07,152.4,          
268,PCU327---327---               ,2005,M08,153.0,          
269,PCU327---327---               ,2005,M09,153.7,          
270,PCU327---327---               ,2005,M10,154.3,          
271,PCU327---327---               ,2005,M11,155.7,          
272,PCU327---327---               ,2005,M12,156.3,          
273,PCU327---327---               ,2005,M13,152.0,          
274,PCU327---327---               ,2006,M01,159.9,          
275,PCU327---327---               ,2006,M02,161.2,          
276,PCU327---327---               ,2006,M03,161.8,          
277,PCU327---327---               ,2006,M04,162.5,          
278,PCU327---327---               ,2006,M05,163.3,          
279,PCU327---327---               ,2006,M06,163.7,          
280,PCU327---327---               ,2006,M07,164.8,          
281,PCU327---327---               ,2006,M08,164.9,          
282,PCU327---327---               ,2006,M09,165.0,          
283,PCU327---327---               ,2006,M10,164.5,          
284,PCU327---327---               ,2006,M11,164.6,          
285,PCU327---327---               ,2006,M12,164.7,          
286,PCU327---327---               ,2006,M13,163.4,          
287,PCU327---327---               ,2007,M01,166.3,          
288,PCU327---327---               ,2007,M02,166.5,          
289,PCU327---327---               ,2007,M03,167.0,          
290,PCU327---327---               ,2007,M04,167.1,          
291,PCU327---327---               ,2007,M05,167.1,          
292,PCU327---327---               ,2007,M06,167.1,          
293,PCU327---327---               ,2007,M07,166.7,          
294,PCU327---327---               ,2007,M08,166.5,          
295,PCU327---327---               ,2007,M09,166.6,          
296,PCU327---327---               ,2007,M10,166.4,          
297,PCU327---327---               ,2007,M11,166.7,          
298,PCU327---327---               ,2007,M12,166.9,          
299,PCU327---327---               ,2007,M13,166.8,          
300,PCU327---327---               ,2008,M01,168.1,          
301,PCU327---327---               ,2008,M02,168.2,          
302,PCU327---327---               ,2008,M03,168.6,          
303,PCU327---327---               ,2008,M04,169.1,          
304,PCU327---327---               ,2008,M05,169.6,          
305,PCU327---327---               ,2008,M06,170.0,          
306,PCU327---327---               ,2008,M07,171.0,          
307,PCU327---327---               ,2008,M08,171.9,          
308,PCU327---327---               ,2008,M09,172.5,          
309,PCU327---327---               ,2008,M10,173.3,          
310,PCU327---327---               ,2008,M11,173.9,          
311,PCU327---327---               ,2008,M12,174.2,          
312,PCU327---327---               ,2008,M13,170.9,          
313,PCU327---327---               ,2009,M01,176.1,          
314,PCU327---327---               ,2009,M02,176.0,          
315,PCU327---327---               ,2009,M03,175.3,          
316,PCU327---327---               ,2009,M04,175.1,          
317,PCU327---327---               ,2009,M05,174.5,          
318,PCU327---327---               ,2009,M06,174.2,          
319,PCU327---327---               ,2009,M07,173.9,          
320,PCU327---327---               ,2009,M08,173.4,          
321,PCU327---327---               ,2009,M09,173.1,          
322,PCU327---327---               ,2009,M10,172.3,          
323,PCU327---327---               ,2009,M11,172.1,          
324,PCU327---327---               ,2009,M12,172.1,          
325,PCU327---327---               ,2009,M13,174.0,          
326,PCU327---327---               ,2010,M01,172.3,          
327,PCU327---327---               ,2010,M02,172.6,          
328,PCU327---327---               ,2010,M03,172.7,          
329,PCU327---327---               ,2010,M04,172.2,          
330,PCU327---327---               ,2010,M05,172.4,          
331,PCU327---327---               ,2010,M06,172.6,          
332,PCU327---327---               ,2010,M07,172.3,          
333,PCU327---327---               ,2010,M08,172.5,          
334,PCU327---327---               ,2010,M09,172.5,          
335,PCU327---327---               ,2010,M10,172.5,          
336,PCU327---327---               ,2010,M11,172.6,          
337,PCU327---327---               ,2010,M12,172.7,          
338,PCU327---327---               ,2010,M13,172.5,          
339,PCU327---327---               ,2011,M01,173.0,          
340,PCU327---327---               ,2011,M02,173.7,          
341,PCU327---327---               ,2011,M03,174.3,          
342,PCU327---327---               ,2011,M04,174.3,          
343,PCU327---327---               ,2011,M05,174.4,          
344,PCU327---327---               ,2011,M06,174.9,          
345,PCU327---327---               ,2011,M07,175.5,          
346,PCU327---327---               ,2011,M08,175.5,          
347,PCU327---327---               ,2011,M09,175.3,          
348,PCU327---327---               ,2011,M10,175.2,          
349,PCU327---327---               ,2011,M11,175.7,          
350,PCU327---327---               ,2011,M12,176.8,          
351,PCU327---327---               ,2011,M13,174.9,          
352,PCU327---327---               ,2012,M01,178.2,          
353,PCU327---327---               ,2012,M02,179.2,          
354,PCU327---327---               ,2012,M03,179.6,          
355,PCU327---327---               ,2012,M04,179.6,          
356,PCU327---327---               ,2012,M05,179.9,          
357,PCU327---327---               ,2012,M06,180.0,          
358,PCU327---327---               ,2012,M07,180.6,          
359,PCU327---327---               ,2012,M08,180.9,          
360,PCU327---327---               ,2012,M09,180.8,          
361,PCU327---327---               ,2012,M10,180.9,          
362,PCU327---327---               ,2012,M11,181.2,          
363,PCU327---327---               ,2012,M12,181.6,          
364,PCU327---327---               ,2012,M13,180.2,          
365,PCU327---327---               ,2013,M01,183.4,          
366,PCU327---327---               ,2013,M02,184.1,          
367,PCU327---327---               ,2013,M03,184.6,          
368,PCU327---327---               ,2013,M04,185.2,          
369,PCU327---327---               ,2013,M05,185.6,          
370,PCU327---327---               ,2013,M06,185.8,          
371,PCU327---327---               ,2013,M07,186.2,          
372,PCU327---327---               ,2013,M08,186.5,          
373,PCU327---327---               ,2013,M09,186.8,          
374,PCU327---327---               ,2013,M10,186.6,          
375,PCU327---327---               ,2013,M11,186.8,          
376,PCU327---327---               ,2013,M12,187.0,          
377,PCU327---327---               ,2013,M13,185.7,          
378,PCU327---327---               ,2014,M01,188.0,          
379,PCU327---327---               ,2014,M02,189.3,          
380,PCU327---327---               ,2014,M03,189.8,          
381,PCU327---327---               ,2014,M04,190.1,          
382,PCU327---327---               ,2014,M05,190.2,          
383,PCU327---327---               ,2014,M06,190.9,          
384,PCU327---327---               ,2014,M07,191.4,          
385,PCU327---327---               ,2014,M08,192.1,          
386,PCU327---327---               ,2014,M09,192.7,          
387,PCU327---327---               ,2014,M10,192.5,          
388,PCU327---327---               ,2014,M11,192.9,          
389,PCU327---327---               ,2014,M12,193.2,          
390,PCU327---327---               ,2014,M13,191.1,          
391,PCU327---327---               ,2015,M01,195.1,          
392,PCU327---327---               ,2015,M02,195.6,          
393,PCU327---327---               ,2015,M03,195.6,          
394,PCU327---327---               ,2015,M04,196.6,          
395,PCU327---327---               ,2015,M05,196.8,          
396,PCU327---327---               ,2015,M06,197.1,          
397,PCU327---327---               ,2015,M07,197.2,          
398,PCU327---327---               ,2015,M08,197.3,          
399,PCU327---327---               ,2015,M09,197.4,          
400,PCU327---327---               ,2015,M10,197.8,          
401,PCU327---327---               ,2015,M11,197.9,          
402,PCU327---327---               ,2015,M12,198.0,          
403,PCU327---327---               ,2015,M13,196.9,          
404,PCU327---327---               ,2016,M01,199.7,          
405,PCU327---327---               ,2016,M02,200.3,          
406,PCU327---327---               ,2016,M03,200.9,          
407,PCU327---327---               ,2016,M04,201.9,          
408,PCU327---327---               ,2016,M05,202.1,          
409,PCU327---327---               ,2016,M06,202.2,          
410,PCU327---327---               ,2016,M07,202.3,          
411,PCU327---327---               ,2016,M08,202.6,          
412,PCU327---327---               ,2016,M09,202.6,          
413,PCU327---327---               ,2016,M10,202.7,          
414,PCU327---327---               ,2016,M11,203.0,          
415,PCU327---327---               ,2016,M12,203.4,          
416,PCU327---327---               ,2016,M13,202.0,          
417,PCU327---327---               ,2017,M01,204.6,          
418,PCU327---327---               ,2017,M02,205.5,          
